cn,posologia_cima,ddd_gpt_cantidad,ddd_gpt_unidad,correccion,justificacion,DDD_azure,DDD_azure_numero,DDD_azure_unidad,correcto_azure_gpt
600000,Posología 500 mg cada 8 horas,1500,mg,10,"{Corrección factual: 10, Justificación: 500 mg cada 8h = 500 × 3 = 1500 mg/día. Coincide exactamente con la DDD de referencia. LA DDD CORRECTA SERÍA: 1500 mg}",1500 mg,1500,mg,1
600002,Posología 250 mg cada 6 horas,800,mg,1,"{Corrección factual: 1, Justificación: El cálculo correcto es 250 mg cada 6h = 250 × 4 = 1000 mg/día, pero la DDD proporcionada indica 800 mg. LA DDD CORRECTA SERÍA: 1000 mg}",1000 mg,1000,mg,0
600004,Posología 1 comprimido de 20 mg cada 12 horas,50,mg,1,"{Corrección factual: 1, Justificación: 20 mg cada 12h = 20 × 2 = 40 mg/día. La DDD proporcionada es 50 mg. LA DDD CORRECTA SERÍA: 40 mg}",40 mg,40,mg,0
600006,Posología 100-200 mg al día en una sola toma,150,mg,10,"{Corrección factual: 10, Justificación: La posología indica 100-200 mg/día. La DDD de 150 mg está dentro del rango terapéutico estándar. LA DDD CORRECTA SERÍA: 150 mg}",150 mg,150,mg,1
600008,Posología La dosificación y velocidad de perfusión debe ajustarse según criterio médico,5,g,1,"{Corrección factual: 10, Justificación:La posología no especifica dosis ni frecuencia concreta, solo indica ajuste según criterio. No se puede calcular una DDD estándar. LA DDD CORRECTA SERÍA: (.)}",,.,,0
600010,,.,,10,"{Corrección factual: 10, Justificación: No se proporcionó información de posología. LA DDD CORRECTA SERÍA: (.)}",,.,,1
600012,Posología 200 mcg dos veces al día,400,mcg,10,"{Corrección factual: 10, Justificación: 200 mcg × 2 = 400 mcg/día. Coincide exactamente. LA DDD CORRECTA SERÍA: 400 mcg}",400 mcg,400,mcg,1
600014,Posología 1 comprimido de 500 mg una vez al día,500,mg,10,"{Corrección factual: 10, Justificación: La posología indica una única toma diaria de 500 mg. Esto equivale a 500 × 1 = 500 mg/día. Coincide exactamente con la DDD proporcionada. LA DDD CORRECTA SERÍA: 500 mg}",500 mg,500,mg,1
600015,Posología 750 mg cada 12 horas,1200,mg,1,"{Corrección factual: 10, Justificación: La posología indica 750 mg cada 12 horas, lo que supone 2 tomas diarias. El cálculo es 750 × 2 = 1500 mg/día. La DDD proporcionada es inferior al valor calculado. LA DDD CORRECTA SERÍA: 1500 mg}",1500 mg,1500,mg,0
600020,Posología 50 mg/kg/día en adultos,3000,mg,1,"{Corrección factual: 10, Justificación: Al tratarse de una indicación en adultos, se asume un peso estándar de 70 kg. El cálculo es 50 × 70 = 3500 mg/día. La DDD proporcionada no coincide con el valor calculado. LA DDD CORRECTA SERÍA: 3500 mg}",3500 mg,3500,mg,0
